# DICHLORODIETHYL ETHER from NIST Database
4.245e-01 7.205e-04 9.617e-02 2.951e-04 0.000e+00
4.686e-01 5.921e-04 9.242e-02 2.252e-04 0.000e+00
5.000e-01 5.205e-04 8.999e-02 1.894e-04 0.000e+00
5.173e-01 4.865e-04 8.872e-02 1.733e-04 0.000e+00
5.710e-01 3.997e-04 8.508e-02 1.345e-04 0.000e+00
6.000e-01 3.621e-04 8.328e-02 1.186e-04 0.000e+00
6.304e-01 3.282e-04 8.151e-02 1.048e-04 0.000e+00
6.959e-01 2.695e-04 7.801e-02 8.219e-05 0.000e+00
7.682e-01 2.213e-04 7.458e-02 6.552e-05 0.000e+00
8.000e-01 2.041e-04 7.320e-02 6.011e-05 0.000e+00
8.480e-01 1.817e-04 7.123e-02 5.347e-05 0.000e+00
9.361e-01 1.492e-04 6.796e-02 4.370e-05 0.000e+00
1.000e+00 1.307e-04 6.583e-02 3.739e-05 0.000e+00
1.022e+00 1.252e-04 6.515e-02 3.533e-05 0.000e+00
1.033e+00 1.225e-04 6.481e-02 3.440e-05 5.735e-09
1.141e+00 1.004e-04 6.168e-02 2.799e-05 5.326e-06
1.250e+00 8.372e-05 5.888e-02 2.394e-05 2.830e-05
1.259e+00 8.253e-05 5.866e-02 2.364e-05 3.110e-05
1.390e+00 6.772e-05 5.572e-02 1.984e-05 8.681e-05
1.500e+00 5.816e-05 5.352e-02 1.731e-05 1.529e-04
1.535e+00 5.553e-05 5.286e-02 1.663e-05 1.772e-04
1.694e+00 4.560e-05 5.010e-02 1.407e-05 3.036e-04
1.870e+00 3.743e-05 4.743e-02 1.198e-05 4.679e-04
2.000e+00 3.272e-05 4.567e-02 1.076e-05 6.009e-04
2.044e+00 3.133e-05 4.511e-02 1.040e-05 6.476e-04
2.065e+00 3.069e-05 4.485e-02 1.024e-05 6.700e-04
2.279e+00 2.520e-05 4.238e-02 8.801e-06 9.043e-04
2.516e+00 2.068e-05 3.998e-02 7.601e-06 1.170e-03
2.778e+00 1.696e-05 3.766e-02 6.593e-06 1.466e-03
3.000e+00 1.454e-05 3.593e-02 5.919e-06 1.717e-03
3.066e+00 1.392e-05 3.545e-02 5.743e-06 1.791e-03
3.385e+00 1.142e-05 3.333e-02 5.017e-06 2.144e-03
3.737e+00 9.375e-06 3.131e-02 4.396e-06 2.526e-03
4.000e+00 8.183e-06 2.997e-02 4.021e-06 2.802e-03
4.125e+00 7.695e-06 2.938e-02 3.864e-06 2.931e-03
4.554e+00 6.314e-06 2.754e-02 3.405e-06 3.360e-03
