# SODIUM CARBONATE from NIST Database
4.686e-01 3.625e-04 8.768e-02 4.845e-05 0.000e+00
5.000e-01 3.185e-04 8.537e-02 4.070e-05 0.000e+00
5.173e-01 2.976e-04 8.416e-02 3.721e-05 0.000e+00
5.710e-01 2.444e-04 8.070e-02 2.881e-05 0.000e+00
6.000e-01 2.214e-04 7.899e-02 2.537e-05 0.000e+00
6.304e-01 2.006e-04 7.730e-02 2.235e-05 0.000e+00
6.959e-01 1.647e-04 7.397e-02 1.747e-05 0.000e+00
7.682e-01 1.352e-04 7.073e-02 1.393e-05 0.000e+00
8.000e-01 1.247e-04 6.942e-02 1.282e-05 0.000e+00
8.480e-01 1.110e-04 6.756e-02 1.148e-05 0.000e+00
9.361e-01 9.106e-05 6.447e-02 9.434e-06 0.000e+00
1.000e+00 7.981e-05 6.244e-02 7.969e-06 0.000e+00
1.022e+00 7.641e-05 6.177e-02 7.472e-06 0.000e+00
1.033e+00 7.480e-05 6.145e-02 7.252e-06 4.248e-09
1.141e+00 6.132e-05 5.848e-02 5.864e-06 4.015e-06
1.250e+00 5.110e-05 5.583e-02 5.070e-06 2.164e-05
1.259e+00 5.037e-05 5.562e-02 5.011e-06 2.381e-05
1.390e+00 4.133e-05 5.283e-02 4.217e-06 6.725e-05
1.500e+00 3.549e-05 5.074e-02 3.676e-06 1.193e-04
1.535e+00 3.389e-05 5.013e-02 3.530e-06 1.384e-04
1.694e+00 2.784e-05 4.753e-02 2.992e-06 2.385e-04
1.870e+00 2.285e-05 4.500e-02 2.557e-06 3.687e-04
2.000e+00 1.997e-05 4.331e-02 2.305e-06 4.741e-04
2.044e+00 1.911e-05 4.277e-02 2.229e-06 5.110e-04
2.065e+00 1.872e-05 4.251e-02 2.194e-06 5.287e-04
2.279e+00 1.536e-05 4.014e-02 1.892e-06 7.147e-04
2.516e+00 1.261e-05 3.787e-02 1.638e-06 9.269e-04
2.778e+00 1.035e-05 3.570e-02 1.425e-06 1.165e-03
