# LITHIUM IODIDE from NIST Database
2.589e-01 1.807e-02 9.069e-02 1.091e-01 0.000e+00
2.858e-01 1.498e-02 8.793e-02 8.290e-02 0.000e+00
3.000e-01 1.366e-02 8.657e-02 7.253e-02 0.000e+00
3.155e-01 1.241e-02 8.514e-02 6.318e-02 0.000e+00
3.483e-01 1.027e-02 8.231e-02 4.832e-02 0.000e+00
3.845e-01 8.492e-03 7.947e-02 3.710e-02 0.000e+00
4.000e-01 7.869e-03 7.833e-02 3.343e-02 0.000e+00
4.245e-01 7.014e-03 7.662e-02 2.861e-02 0.000e+00
4.686e-01 5.791e-03 7.379e-02 2.219e-02 0.000e+00
5.000e-01 5.105e-03 7.193e-02 1.885e-02 0.000e+00
5.173e-01 4.778e-03 7.097e-02 1.732e-02 0.000e+00
5.710e-01 3.940e-03 6.817e-02 1.361e-02 0.000e+00
6.000e-01 3.577e-03 6.678e-02 1.208e-02 0.000e+00
6.304e-01 3.247e-03 6.540e-02 1.073e-02 0.000e+00
6.959e-01 2.675e-03 6.265e-02 8.517e-03 0.000e+00
7.682e-01 2.202e-03 5.996e-02 6.824e-03 0.000e+00
8.000e-01 2.033e-03 5.887e-02 6.254e-03 0.000e+00
8.480e-01 1.812e-03 5.733e-02 5.539e-03 0.000e+00
9.361e-01 1.490e-03 5.475e-02 4.512e-03 0.000e+00
1.000e+00 1.308e-03 5.302e-02 3.907e-03 0.000e+00
1.022e+00 1.253e-03 5.245e-02 3.719e-03 0.000e+00
1.033e+00 1.227e-03 5.217e-02 3.631e-03 4.479e-08
1.141e+00 1.008e-03 4.967e-02 2.968e-03 3.710e-05
1.250e+00 8.404e-04 4.747e-02 2.507e-03 1.789e-04
1.259e+00 8.285e-04 4.730e-02 2.475e-03 1.952e-04
1.390e+00 6.804e-04 4.495e-02 2.062e-03 4.981e-04
1.500e+00 5.847e-04 4.318e-02 1.795e-03 8.279e-04
1.535e+00 5.585e-04 4.265e-02 1.722e-03 9.440e-04
1.694e+00 4.590e-04 4.044e-02 1.448e-03 1.525e-03
1.870e+00 3.770e-04 3.829e-02 1.222e-03 2.239e-03
2.000e+00 3.298e-04 3.688e-02 1.092e-03 2.794e-03
2.044e+00 3.158e-04 3.642e-02 1.054e-03 2.984e-03
2.065e+00 3.094e-04 3.621e-02 1.036e-03 3.075e-03
2.279e+00 2.542e-04 3.422e-02 8.833e-04 4.007e-03
2.516e+00 2.086e-04 3.229e-02 7.562e-04 5.032e-03
2.778e+00 1.712e-04 3.043e-02 6.500e-04 6.141e-03
3.000e+00 1.468e-04 2.903e-02 5.795e-04 7.054e-03
3.066e+00 1.405e-04 2.865e-02 5.612e-04 7.321e-03
3.385e+00 1.154e-04 2.694e-02 4.858e-04 8.575e-03
3.737e+00 9.468e-05 2.530e-02 4.219e-04 9.897e-03
4.000e+00 8.265e-05 2.422e-02 3.837e-04 1.084e-02
4.125e+00 7.771e-05 2.375e-02 3.677e-04 1.128e-02
4.554e+00 6.376e-05 2.226e-02 3.213e-04 1.271e-02
5.000e+00 5.289e-05 2.092e-02 2.837e-04 1.412e-02
5.027e+00 5.233e-05 2.085e-02 2.817e-04 1.420e-02
5.549e+00 4.295e-05 1.951e-02 2.475e-04 1.573e-02
6.000e+00 3.674e-05 1.849e-02 2.238e-04 1.696e-02
6.126e+00 3.525e-05 1.823e-02 2.180e-04 1.729e-02
6.762e+00 2.893e-05 1.703e-02 1.925e-04 1.891e-02
7.000e+00 2.700e-05 1.662e-02 1.843e-04 1.948e-02
7.465e+00 2.374e-05 1.589e-02 1.702e-04 2.057e-02
8.000e+00 2.067e-05 1.513e-02 1.564e-04 2.175e-02
8.241e+00 1.948e-05 1.482e-02 1.509e-04 2.227e-02
9.000e+00 1.633e-05 1.391e-02 1.357e-04 2.382e-02
9.097e+00 1.598e-05 1.380e-02 1.339e-04 2.402e-02
1.000e+01 1.323e-05 1.289e-02 1.197e-04 2.572e-02
1.004e+01 1.312e-05 1.285e-02 1.191e-04 2.579e-02
1.100e+01 1.093e-05 1.202e-02 1.070e-04 2.747e-02
1.109e+01 1.076e-05 1.195e-02 1.060e-04 2.762e-02
1.200e+01 9.187e-06 1.127e-02 9.678e-05 2.908e-02
1.224e+01 8.830e-06 1.111e-02 9.460e-05 2.946e-02
1.300e+01 7.828e-06 1.062e-02 8.828e-05 3.060e-02
1.351e+01 7.250e-06 1.032e-02 8.448e-05 3.131e-02
1.400e+01 6.752e-06 1.005e-02 8.112e-05 3.198e-02
1.491e+01 5.950e-06 9.584e-03 7.556e-05 3.315e-02
1.500e+01 5.879e-06 9.541e-03 7.505e-05 3.327e-02
1.600e+01 5.168e-06 9.085e-03 6.983e-05 3.446e-02
1.646e+01 4.883e-06 8.890e-03 6.765e-05 3.499e-02
1.800e+01 4.084e-06 8.301e-03 6.124e-05 3.663e-02
1.818e+01 4.003e-06 8.237e-03 6.057e-05 3.682e-02
2.000e+01 3.308e-06 7.654e-03 5.453e-05 3.859e-02
