# PLUTONIUM DIOXIDE from NIST Database
8.726e-02 2.941e-01 1.029e-01 2.248e+00 0.000e+00
9.633e-02 2.501e-01 1.025e-01 1.723e+00 0.000e+00
1.000e-01 2.351e-01 1.023e-01 1.558e+00 0.000e+00
1.063e-01 2.124e-01 1.019e-01 1.322e+00 0.000e+00
1.174e-01 1.796e-01 1.010e-01 1.012e+00 0.000e+00
1.218e-01 1.687e-01 1.006e-01 9.158e-01 0.000e+00
1.218e-01 1.687e-01 1.006e-01 3.795e+00 0.000e+00
1.296e-01 1.518e-01 9.979e-02 3.245e+00 0.000e+00
1.431e-01 1.279e-01 9.838e-02 2.526e+00 0.000e+00
1.500e-01 1.179e-01 9.763e-02 2.242e+00 0.000e+00
1.579e-01 1.077e-01 9.676e-02 1.968e+00 0.000e+00
1.743e-01 9.038e-02 9.496e-02 1.531e+00 0.000e+00
1.925e-01 7.566e-02 9.297e-02 1.189e+00 0.000e+00
2.000e-01 7.064e-02 9.216e-02 1.078e+00 0.000e+00
2.125e-01 6.334e-02 9.083e-02 9.242e-01 0.000e+00
2.345e-01 5.303e-02 8.857e-02 7.193e-01 0.000e+00
2.589e-01 4.434e-02 8.618e-02 5.599e-01 0.000e+00
2.858e-01 3.705e-02 8.371e-02 4.368e-01 0.000e+00
3.000e-01 3.392e-02 8.248e-02 3.870e-01 0.000e+00
3.155e-01 3.094e-02 8.118e-02 3.416e-01 0.000e+00
3.483e-01 2.581e-02 7.861e-02 2.680e-01 0.000e+00
3.845e-01 2.151e-02 7.601e-02 2.109e-01 0.000e+00
4.000e-01 1.999e-02 7.496e-02 1.919e-01 0.000e+00
4.245e-01 1.790e-02 7.339e-02 1.666e-01 0.000e+00
4.686e-01 1.488e-02 7.076e-02 1.321e-01 0.000e+00
5.000e-01 1.317e-02 6.904e-02 1.137e-01 0.000e+00
5.173e-01 1.235e-02 6.813e-02 1.052e-01 0.000e+00
5.710e-01 1.024e-02 6.551e-02 8.415e-02 0.000e+00
6.000e-01 9.323e-03 6.420e-02 7.536e-02 0.000e+00
6.304e-01 8.486e-03 6.291e-02 6.760e-02 0.000e+00
6.959e-01 7.025e-03 6.034e-02 5.456e-02 0.000e+00
7.682e-01 5.811e-03 5.780e-02 4.420e-02 0.000e+00
8.000e-01 5.375e-03 5.677e-02 4.057e-02 0.000e+00
8.480e-01 4.804e-03 5.528e-02 3.591e-02 0.000e+00
9.361e-01 3.969e-03 5.281e-02 2.931e-02 0.000e+00
1.000e+00 3.491e-03 5.119e-02 2.571e-02 0.000e+00
1.022e+00 3.346e-03 5.067e-02 2.464e-02 0.000e+00
1.033e+00 3.277e-03 5.041e-02 2.413e-02 8.378e-08
1.141e+00 2.700e-03 4.803e-02 1.987e-02 7.848e-05
1.250e+00 2.260e-03 4.589e-02 1.665e-02 4.149e-04
1.259e+00 2.228e-03 4.572e-02 1.642e-02 4.554e-04
1.390e+00 1.836e-03 4.347e-02 1.362e-02 1.230e-03
1.500e+00 1.582e-03 4.179e-02 1.184e-02 2.065e-03
1.535e+00 1.512e-03 4.128e-02 1.135e-02 2.347e-03
1.694e+00 1.246e-03 3.917e-02 9.522e-03 3.649e-03
1.870e+00 1.025e-03 3.710e-02 8.017e-03 5.040e-03
2.000e+00 8.979e-04 3.572e-02 7.150e-03 6.031e-03
2.044e+00 8.601e-04 3.527e-02 6.892e-03 6.364e-03
2.065e+00 8.428e-04 3.507e-02 6.775e-03 6.521e-03
2.279e+00 6.934e-04 3.312e-02 5.753e-03 8.058e-03
2.516e+00 5.700e-04 3.126e-02 4.902e-03 9.626e-03
2.778e+00 4.684e-04 2.948e-02 4.192e-03 1.122e-02
3.000e+00 4.021e-04 2.814e-02 3.722e-03 1.248e-02
3.066e+00 3.851e-04 2.777e-02 3.600e-03 1.284e-02
3.385e+00 3.163e-04 2.611e-02 3.101e-03 1.451e-02
3.737e+00 2.598e-04 2.453e-02 2.680e-03 1.623e-02
4.000e+00 2.269e-04 2.348e-02 2.428e-03 1.745e-02
4.125e+00 2.134e-04 2.302e-02 2.324e-03 1.801e-02
4.554e+00 1.752e-04 2.158e-02 2.020e-03 1.985e-02
