# GLASS, PLATE from NIST Database
3.155e-01 1.275e-03 1.035e-01 5.668e-04 0.000e+00
3.483e-01 1.048e-03 9.977e-02 4.245e-04 0.000e+00
3.845e-01 8.617e-04 9.607e-02 3.197e-04 0.000e+00
4.000e-01 7.968e-04 9.460e-02 2.859e-04 0.000e+00
4.245e-01 7.081e-04 9.241e-02 2.421e-04 0.000e+00
4.686e-01 5.818e-04 8.881e-02 1.848e-04 0.000e+00
5.000e-01 5.114e-04 8.648e-02 1.555e-04 0.000e+00
5.173e-01 4.779e-04 8.526e-02 1.422e-04 0.000e+00
5.710e-01 3.926e-04 8.176e-02 1.103e-04 0.000e+00
6.000e-01 3.557e-04 8.003e-02 9.731e-05 0.000e+00
6.304e-01 3.223e-04 7.833e-02 8.592e-05 0.000e+00
6.959e-01 2.647e-04 7.497e-02 6.741e-05 0.000e+00
7.682e-01 2.173e-04 7.168e-02 5.375e-05 0.000e+00
8.000e-01 2.004e-04 7.035e-02 4.933e-05 0.000e+00
8.480e-01 1.784e-04 6.847e-02 4.391e-05 0.000e+00
9.361e-01 1.464e-04 6.533e-02 3.589e-05 0.000e+00
1.000e+00 1.283e-04 6.328e-02 3.066e-05 0.000e+00
1.022e+00 1.229e-04 6.261e-02 2.896e-05 0.000e+00
1.033e+00 1.203e-04 6.228e-02 2.818e-05 5.840e-09
1.141e+00 9.864e-05 5.928e-02 2.292e-05 5.444e-06
1.250e+00 8.219e-05 5.659e-02 1.962e-05 2.902e-05
1.259e+00 8.102e-05 5.638e-02 1.938e-05 3.190e-05
1.390e+00 6.648e-05 5.355e-02 1.627e-05 8.931e-05
1.500e+00 5.709e-05 5.143e-02 1.419e-05 1.576e-04
1.535e+00 5.452e-05 5.080e-02 1.363e-05 1.827e-04
1.694e+00 4.476e-05 4.817e-02 1.153e-05 3.137e-04
1.870e+00 3.673e-05 4.561e-02 9.818e-06 4.842e-04
2.000e+00 3.212e-05 4.390e-02 8.830e-06 6.221e-04
2.044e+00 3.075e-05 4.335e-02 8.535e-06 6.705e-04
2.065e+00 3.013e-05 4.310e-02 8.401e-06 6.937e-04
2.279e+00 2.475e-05 4.069e-02 7.227e-06 9.365e-04
2.516e+00 2.030e-05 3.839e-02 6.242e-06 1.212e-03
2.778e+00 1.665e-05 3.619e-02 5.413e-06 1.520e-03
3.000e+00 1.428e-05 3.454e-02 4.859e-06 1.779e-03
3.066e+00 1.367e-05 3.408e-02 4.714e-06 1.856e-03
3.385e+00 1.122e-05 3.204e-02 4.118e-06 2.223e-03
3.737e+00 9.203e-06 3.010e-02 3.609e-06 2.618e-03
4.000e+00 8.033e-06 2.881e-02 3.302e-06 2.905e-03
4.125e+00 7.554e-06 2.824e-02 3.173e-06 3.038e-03
4.554e+00 6.197e-06 2.647e-02 2.797e-06 3.482e-03
5.000e+00 5.141e-06 2.488e-02 2.488e-06 3.923e-03
5.027e+00 5.086e-06 2.479e-02 2.471e-06 3.949e-03
5.549e+00 4.174e-06 2.319e-02 2.188e-06 4.440e-03
6.000e+00 3.570e-06 2.199e-02 1.990e-06 4.843e-03
6.126e+00 3.425e-06 2.168e-02 1.941e-06 4.953e-03
6.762e+00 2.811e-06 2.025e-02 1.726e-06 5.479e-03
7.000e+00 2.623e-06 1.977e-02 1.657e-06 5.668e-03
7.465e+00 2.306e-06 1.889e-02 1.537e-06 6.024e-03
8.000e+00 2.008e-06 1.799e-02 1.418e-06 6.415e-03
8.241e+00 1.892e-06 1.761e-02 1.370e-06 6.584e-03
9.000e+00 1.587e-06 1.654e-02 1.239e-06 7.095e-03
9.097e+00 1.553e-06 1.641e-02 1.223e-06 7.157e-03
1.000e+01 1.285e-06 1.532e-02 1.099e-06 7.713e-03
1.004e+01 1.275e-06 1.528e-02 1.094e-06 7.736e-03
1.100e+01 1.062e-06 1.429e-02 9.878e-07 8.276e-03
1.109e+01 1.045e-06 1.420e-02 9.788e-07 8.325e-03
1.200e+01 8.926e-07 1.340e-02 8.968e-07 8.795e-03
1.224e+01 8.579e-07 1.321e-02 8.774e-07 8.914e-03
1.300e+01 7.606e-07 1.262e-02 8.210e-07 9.278e-03
1.351e+01 7.042e-07 1.227e-02 7.870e-07 9.511e-03
1.400e+01 6.557e-07 1.194e-02 7.569e-07 9.728e-03
1.491e+01 5.781e-07 1.139e-02 7.068e-07 1.011e-02
1.500e+01 5.712e-07 1.134e-02 7.022e-07 1.015e-02
1.600e+01 5.020e-07 1.080e-02 6.548e-07 1.054e-02
1.646e+01 4.743e-07 1.057e-02 6.350e-07 1.072e-02
1.800e+01 3.967e-07 9.869e-03 5.766e-07 1.127e-02
1.818e+01 3.888e-07 9.794e-03 5.705e-07 1.133e-02
2.000e+01 3.213e-07 9.101e-03 5.153e-07 1.191e-02
