# M3 WAX from NIST Database
3.845e-01 3.347e-04 1.074e-01 4.579e-05 0.000e+00
4.000e-01 3.094e-04 1.058e-01 4.091e-05 0.000e+00
4.245e-01 2.748e-04 1.033e-01 3.459e-05 0.000e+00
4.686e-01 2.257e-04 9.928e-02 2.634e-05 0.000e+00
5.000e-01 1.983e-04 9.665e-02 2.214e-05 0.000e+00
5.173e-01 1.853e-04 9.529e-02 2.024e-05 0.000e+00
5.710e-01 1.521e-04 9.136e-02 1.568e-05 0.000e+00
6.000e-01 1.378e-04 8.942e-02 1.381e-05 0.000e+00
6.304e-01 1.249e-04 8.750e-02 1.217e-05 0.000e+00
6.959e-01 1.025e-04 8.374e-02 9.506e-06 0.000e+00
7.682e-01 8.412e-05 8.006e-02 7.584e-06 0.000e+00
8.000e-01 7.757e-05 7.856e-02 6.980e-06 0.000e+00
8.480e-01 6.904e-05 7.644e-02 6.256e-06 0.000e+00
9.361e-01 5.666e-05 7.292e-02 5.144e-06 0.000e+00
1.000e+00 4.966e-05 7.065e-02 4.340e-06 0.000e+00
1.022e+00 4.755e-05 6.992e-02 4.067e-06 0.000e+00
1.033e+00 4.655e-05 6.956e-02 3.946e-06 3.100e-09
1.141e+00 3.816e-05 6.620e-02 3.188e-06 2.938e-06
1.250e+00 3.179e-05 6.318e-02 2.758e-06 1.587e-05
1.259e+00 3.134e-05 6.294e-02 2.726e-06 1.747e-05
1.390e+00 2.571e-05 5.979e-02 2.294e-06 4.944e-05
1.500e+00 2.208e-05 5.744e-02 1.999e-06 8.778e-05
1.535e+00 2.109e-05 5.673e-02 1.920e-06 1.019e-04
1.694e+00 1.731e-05 5.378e-02 1.627e-06 1.756e-04
1.870e+00 1.421e-05 5.090e-02 1.390e-06 2.717e-04
2.000e+00 1.242e-05 4.900e-02 1.252e-06 3.493e-04
2.044e+00 1.189e-05 4.840e-02 1.211e-06 3.765e-04
2.065e+00 1.165e-05 4.812e-02 1.192e-06 3.897e-04
2.279e+00 9.570e-06 4.545e-02 1.027e-06 5.270e-04
2.516e+00 7.852e-06 4.288e-02 8.894e-07 6.843e-04
2.778e+00 6.440e-06 4.040e-02 7.733e-07 8.613e-04
3.000e+00 5.522e-06 3.855e-02 6.955e-07 1.012e-03
3.066e+00 5.286e-06 3.804e-02 6.752e-07 1.057e-03
3.385e+00 4.337e-06 3.577e-02 5.911e-07 1.272e-03
3.737e+00 3.559e-06 3.359e-02 5.190e-07 1.505e-03
4.000e+00 3.106e-06 3.216e-02 4.754e-07 1.675e-03
4.125e+00 2.921e-06 3.152e-02 4.571e-07 1.754e-03
4.554e+00 2.396e-06 2.955e-02 4.036e-07 2.018e-03
5.000e+00 1.988e-06 2.777e-02 3.596e-07 2.283e-03
5.027e+00 1.967e-06 2.767e-02 3.573e-07 2.298e-03
5.549e+00 1.614e-06 2.589e-02 3.169e-07 2.595e-03
6.000e+00 1.380e-06 2.455e-02 2.886e-07 2.838e-03
6.126e+00 1.324e-06 2.420e-02 2.815e-07 2.905e-03
6.762e+00 1.087e-06 2.260e-02 2.506e-07 3.225e-03
7.000e+00 1.014e-06 2.206e-02 2.407e-07 3.340e-03
7.465e+00 8.918e-07 2.109e-02 2.234e-07 3.557e-03
8.000e+00 7.766e-07 2.008e-02 2.063e-07 3.796e-03
8.241e+00 7.318e-07 1.966e-02 1.995e-07 3.901e-03
9.000e+00 6.136e-07 1.846e-02 1.805e-07 4.214e-03
9.097e+00 6.005e-07 1.832e-02 1.784e-07 4.252e-03
1.000e+01 4.970e-07 1.710e-02 1.604e-07 4.595e-03
1.004e+01 4.930e-07 1.705e-02 1.597e-07 4.609e-03
1.100e+01 4.107e-07 1.595e-02 1.443e-07 4.943e-03
1.109e+01 4.041e-07 1.586e-02 1.430e-07 4.974e-03
1.200e+01 3.451e-07 1.496e-02 1.311e-07 5.265e-03
1.224e+01 3.317e-07 1.474e-02 1.283e-07 5.339e-03
1.300e+01 2.941e-07 1.409e-02 1.201e-07 5.565e-03
1.351e+01 2.723e-07 1.369e-02 1.152e-07 5.710e-03
1.400e+01 2.535e-07 1.333e-02 1.108e-07 5.845e-03
1.491e+01 2.236e-07 1.272e-02 1.035e-07 6.083e-03
1.500e+01 2.209e-07 1.266e-02 1.028e-07 6.107e-03
1.600e+01 1.941e-07 1.205e-02 9.592e-08 6.356e-03
1.646e+01 1.834e-07 1.180e-02 9.304e-08 6.465e-03
1.800e+01 1.534e-07 1.102e-02 8.455e-08 6.809e-03
1.818e+01 1.504e-07 1.093e-02 8.366e-08 6.847e-03
2.000e+01 1.243e-07 1.016e-02 7.562e-08 7.217e-03
