# OCTANE, LIQUID from NIST Database
5.710e-01 1.007e-04 9.511e-02 4.071e-06 0.000e+00
6.000e-01 9.118e-05 9.308e-02 3.578e-06 0.000e+00
6.304e-01 8.260e-05 9.109e-02 3.141e-06 0.000e+00
6.959e-01 6.779e-05 8.718e-02 2.436e-06 0.000e+00
7.682e-01 5.563e-05 8.333e-02 1.948e-06 0.000e+00
8.000e-01 5.130e-05 8.178e-02 1.804e-06 0.000e+00
8.480e-01 4.566e-05 7.956e-02 1.640e-06 0.000e+00
9.361e-01 3.747e-05 7.589e-02 1.364e-06 0.000e+00
1.000e+00 3.284e-05 7.354e-02 1.122e-06 0.000e+00
1.022e+00 3.144e-05 7.278e-02 1.034e-06 0.000e+00
1.033e+00 3.078e-05 7.241e-02 9.968e-07 2.488e-09
1.141e+00 2.523e-05 6.892e-02 7.948e-07 2.369e-06
1.250e+00 2.102e-05 6.576e-02 7.023e-07 1.284e-05
1.259e+00 2.072e-05 6.552e-02 6.951e-07 1.414e-05
1.390e+00 1.700e-05 6.224e-02 5.875e-07 4.014e-05
1.500e+00 1.460e-05 5.979e-02 5.100e-07 7.139e-05
1.535e+00 1.394e-05 5.905e-02 4.894e-07 8.289e-05
1.694e+00 1.145e-05 5.597e-02 4.151e-07 1.431e-04
1.870e+00 9.394e-06 5.298e-02 3.563e-07 2.214e-04
2.000e+00 8.212e-06 5.100e-02 3.219e-07 2.847e-04
2.044e+00 7.861e-06 5.038e-02 3.115e-07 3.070e-04
2.065e+00 7.702e-06 5.009e-02 3.067e-07 3.177e-04
2.279e+00 6.322e-06 4.732e-02 2.651e-07 4.299e-04
2.516e+00 5.188e-06 4.464e-02 2.301e-07 5.590e-04
2.778e+00 4.256e-06 4.206e-02 2.005e-07 7.048e-04
3.000e+00 3.650e-06 4.013e-02 1.806e-07 8.295e-04
3.066e+00 3.495e-06 3.959e-02 1.754e-07 8.666e-04
3.385e+00 2.867e-06 3.723e-02 1.539e-07 1.045e-03
3.737e+00 2.352e-06 3.497e-02 1.355e-07 1.239e-03
4.000e+00 2.053e-06 3.347e-02 1.243e-07 1.381e-03
4.125e+00 1.931e-06 3.281e-02 1.196e-07 1.448e-03
4.554e+00 1.584e-06 3.076e-02 1.058e-07 1.669e-03
5.000e+00 1.314e-06 2.891e-02 9.445e-08 1.891e-03
5.027e+00 1.300e-06 2.880e-02 9.384e-08 1.905e-03
5.549e+00 1.067e-06 2.695e-02 8.336e-08 2.155e-03
6.000e+00 9.126e-07 2.555e-02 7.601e-08 2.360e-03
6.126e+00 8.754e-07 2.519e-02 7.419e-08 2.416e-03
6.762e+00 7.183e-07 2.353e-02 6.615e-08 2.688e-03
7.000e+00 6.703e-07 2.296e-02 6.357e-08 2.785e-03
7.465e+00 5.895e-07 2.195e-02 5.905e-08 2.969e-03
8.000e+00 5.134e-07 2.090e-02 5.459e-08 3.172e-03
8.241e+00 4.838e-07 2.046e-02 5.279e-08 3.260e-03
9.000e+00 4.056e-07 1.921e-02 4.784e-08 3.527e-03
9.097e+00 3.970e-07 1.906e-02 4.727e-08 3.559e-03
1.000e+01 3.285e-07 1.780e-02 4.256e-08 3.851e-03
1.004e+01 3.259e-07 1.775e-02 4.238e-08 3.864e-03
1.100e+01 2.715e-07 1.660e-02 3.831e-08 4.149e-03
1.109e+01 2.671e-07 1.650e-02 3.797e-08 4.175e-03
1.200e+01 2.281e-07 1.557e-02 3.484e-08 4.424e-03
1.224e+01 2.193e-07 1.534e-02 3.409e-08 4.486e-03
1.300e+01 1.944e-07 1.467e-02 3.194e-08 4.680e-03
1.351e+01 1.800e-07 1.425e-02 3.064e-08 4.805e-03
1.400e+01 1.676e-07 1.388e-02 2.948e-08 4.920e-03
1.491e+01 1.478e-07 1.323e-02 2.755e-08 5.124e-03
1.500e+01 1.460e-07 1.317e-02 2.738e-08 5.144e-03
1.600e+01 1.283e-07 1.254e-02 2.555e-08 5.358e-03
1.646e+01 1.213e-07 1.228e-02 2.479e-08 5.452e-03
1.800e+01 1.014e-07 1.147e-02 2.255e-08 5.747e-03
1.818e+01 9.940e-08 1.138e-02 2.231e-08 5.779e-03
2.000e+01 8.212e-08 1.057e-02 2.017e-08 6.097e-03
