# DIETHYL ETHER from NIST Database
5.173e-01 1.454e-04 9.727e-02 8.238e-06 0.000e+00
5.710e-01 1.193e-04 9.326e-02 6.376e-06 0.000e+00
6.000e-01 1.081e-04 9.128e-02 5.608e-06 0.000e+00
6.304e-01 9.794e-05 8.933e-02 4.929e-06 0.000e+00
6.959e-01 8.038e-05 8.548e-02 3.831e-06 0.000e+00
7.682e-01 6.597e-05 8.172e-02 3.061e-06 0.000e+00
8.000e-01 6.083e-05 8.020e-02 2.829e-06 0.000e+00
8.480e-01 5.414e-05 7.803e-02 2.560e-06 0.000e+00
9.361e-01 4.443e-05 7.444e-02 2.121e-06 0.000e+00
1.000e+00 3.894e-05 7.212e-02 1.759e-06 0.000e+00
1.022e+00 3.729e-05 7.137e-02 1.631e-06 0.000e+00
1.033e+00 3.650e-05 7.101e-02 1.575e-06 2.749e-09
1.141e+00 2.992e-05 6.758e-02 1.262e-06 2.613e-06
1.250e+00 2.493e-05 6.449e-02 1.107e-06 1.415e-05
1.259e+00 2.457e-05 6.425e-02 1.095e-06 1.558e-05
1.390e+00 2.016e-05 6.103e-02 9.245e-07 4.417e-05
1.500e+00 1.731e-05 5.863e-02 8.036e-07 7.852e-05
1.535e+00 1.653e-05 5.791e-02 7.713e-07 9.117e-05
1.694e+00 1.358e-05 5.490e-02 6.542e-07 1.573e-04
1.870e+00 1.114e-05 5.196e-02 5.608e-07 2.434e-04
2.000e+00 9.739e-06 5.002e-02 5.063e-07 3.130e-04
2.044e+00 9.323e-06 4.940e-02 4.898e-07 3.374e-04
2.065e+00 9.134e-06 4.911e-02 4.823e-07 3.491e-04
2.279e+00 7.497e-06 4.639e-02 4.166e-07 4.722e-04
2.516e+00 6.152e-06 4.376e-02 3.614e-07 6.137e-04
2.778e+00 5.047e-06 4.124e-02 3.148e-07 7.734e-04
3.000e+00 4.329e-06 3.935e-02 2.835e-07 9.096e-04
3.066e+00 4.145e-06 3.883e-02 2.753e-07 9.501e-04
3.385e+00 3.400e-06 3.651e-02 2.415e-07 1.145e-03
3.737e+00 2.790e-06 3.429e-02 2.124e-07 1.356e-03
4.000e+00 2.435e-06 3.283e-02 1.948e-07 1.510e-03
4.125e+00 2.290e-06 3.218e-02 1.874e-07 1.582e-03
4.554e+00 1.878e-06 3.016e-02 1.657e-07 1.822e-03
5.000e+00 1.558e-06 2.835e-02 1.479e-07 2.063e-03
5.027e+00 1.542e-06 2.825e-02 1.469e-07 2.078e-03
5.549e+00 1.265e-06 2.643e-02 1.305e-07 2.348e-03
6.000e+00 1.082e-06 2.506e-02 1.189e-07 2.571e-03
6.126e+00 1.038e-06 2.470e-02 1.161e-07 2.631e-03
6.762e+00 8.519e-07 2.307e-02 1.035e-07 2.924e-03
7.000e+00 7.949e-07 2.252e-02 9.941e-08 3.029e-03
7.465e+00 6.991e-07 2.153e-02 9.233e-08 3.227e-03
8.000e+00 6.088e-07 2.050e-02 8.533e-08 3.446e-03
8.241e+00 5.737e-07 2.007e-02 8.252e-08 3.542e-03
9.000e+00 4.810e-07 1.884e-02 7.475e-08 3.829e-03
9.097e+00 4.708e-07 1.870e-02 7.386e-08 3.864e-03
1.000e+01 3.896e-07 1.746e-02 6.648e-08 4.178e-03
1.004e+01 3.865e-07 1.740e-02 6.619e-08 4.191e-03
1.100e+01 3.220e-07 1.628e-02 5.984e-08 4.499e-03
1.109e+01 3.168e-07 1.619e-02 5.931e-08 4.526e-03
1.200e+01 2.705e-07 1.527e-02 5.440e-08 4.793e-03
1.224e+01 2.600e-07 1.505e-02 5.324e-08 4.861e-03
1.300e+01 2.305e-07 1.438e-02 4.987e-08 5.069e-03
1.351e+01 2.135e-07 1.398e-02 4.783e-08 5.203e-03
1.400e+01 1.988e-07 1.361e-02 4.603e-08 5.327e-03
1.491e+01 1.753e-07 1.298e-02 4.302e-08 5.546e-03
1.500e+01 1.732e-07 1.292e-02 4.274e-08 5.568e-03
1.600e+01 1.522e-07 1.230e-02 3.989e-08 5.798e-03
1.646e+01 1.438e-07 1.204e-02 3.870e-08 5.898e-03
1.800e+01 1.202e-07 1.124e-02 3.519e-08 6.214e-03
1.818e+01 1.179e-07 1.116e-02 3.482e-08 6.249e-03
2.000e+01 9.739e-08 1.037e-02 3.148e-08 6.591e-03
