# BRAIN (ICRP) from NIST Database
1.296e-01 3.164e-03 1.529e-01 1.282e-03 0.000e+00
1.431e-01 2.610e-03 1.490e-01 9.288e-04 0.000e+00
1.500e-01 2.380e-03 1.471e-01 7.973e-04 0.000e+00
1.579e-01 2.153e-03 1.451e-01 6.753e-04 0.000e+00
1.743e-01 1.774e-03 1.410e-01 4.912e-04 0.000e+00
1.925e-01 1.459e-03 1.368e-01 3.574e-04 0.000e+00
2.000e-01 1.353e-03 1.351e-01 3.165e-04 0.000e+00
2.125e-01 1.200e-03 1.326e-01 2.612e-04 0.000e+00
2.345e-01 9.880e-04 1.283e-01 1.917e-04 0.000e+00
2.589e-01 8.121e-04 1.241e-01 1.410e-04 0.000e+00
2.858e-01 6.675e-04 1.198e-01 1.041e-04 0.000e+00
3.000e-01 6.062e-04 1.178e-01 8.991e-05 0.000e+00
3.155e-01 5.484e-04 1.156e-01 7.728e-05 0.000e+00
3.483e-01 4.505e-04 1.114e-01 5.764e-05 0.000e+00
3.845e-01 3.700e-04 1.072e-01 4.324e-05 0.000e+00
4.000e-01 3.420e-04 1.056e-01 3.861e-05 0.000e+00
4.245e-01 3.038e-04 1.031e-01 3.263e-05 0.000e+00
4.686e-01 2.494e-04 9.910e-02 2.482e-05 0.000e+00
5.000e-01 2.192e-04 9.648e-02 2.085e-05 0.000e+00
5.173e-01 2.048e-04 9.512e-02 1.906e-05 0.000e+00
5.710e-01 1.681e-04 9.120e-02 1.477e-05 0.000e+00
6.000e-01 1.523e-04 8.926e-02 1.300e-05 0.000e+00
6.304e-01 1.380e-04 8.735e-02 1.144e-05 0.000e+00
6.959e-01 1.133e-04 8.359e-02 8.928e-06 0.000e+00
7.682e-01 9.299e-05 7.992e-02 7.127e-06 0.000e+00
8.000e-01 8.575e-05 7.844e-02 6.567e-06 0.000e+00
8.480e-01 7.631e-05 7.634e-02 5.902e-06 0.000e+00
9.361e-01 6.262e-05 7.283e-02 4.863e-06 0.000e+00
1.000e+00 5.489e-05 7.055e-02 4.083e-06 0.000e+00
1.022e+00 5.257e-05 6.980e-02 3.814e-06 0.000e+00
1.033e+00 5.146e-05 6.944e-02 3.695e-06 3.399e-09
1.141e+00 4.219e-05 6.609e-02 2.979e-06 3.219e-06
1.250e+00 3.515e-05 6.308e-02 2.588e-06 1.738e-05
1.259e+00 3.465e-05 6.285e-02 2.559e-06 1.912e-05
1.390e+00 2.842e-05 5.969e-02 2.155e-06 5.410e-05
1.500e+00 2.440e-05 5.733e-02 1.877e-06 9.605e-05
1.535e+00 2.331e-05 5.663e-02 1.802e-06 1.115e-04
1.694e+00 1.914e-05 5.371e-02 1.527e-06 1.922e-04
1.870e+00 1.571e-05 5.085e-02 1.306e-06 2.973e-04
2.000e+00 1.373e-05 4.893e-02 1.178e-06 3.822e-04
2.044e+00 1.314e-05 4.832e-02 1.139e-06 4.119e-04
2.065e+00 1.288e-05 4.803e-02 1.121e-06 4.261e-04
2.279e+00 1.057e-05 4.534e-02 9.674e-07 5.759e-04
2.516e+00 8.672e-06 4.278e-02 8.381e-07 7.478e-04
2.778e+00 7.116e-06 4.033e-02 7.290e-07 9.412e-04
3.000e+00 6.103e-06 3.849e-02 6.559e-07 1.105e-03
3.066e+00 5.843e-06 3.798e-02 6.369e-07 1.155e-03
3.385e+00 4.794e-06 3.571e-02 5.579e-07 1.389e-03
3.737e+00 3.934e-06 3.354e-02 4.903e-07 1.642e-03
4.000e+00 3.433e-06 3.211e-02 4.493e-07 1.826e-03
4.125e+00 3.228e-06 3.147e-02 4.321e-07 1.912e-03
4.554e+00 2.648e-06 2.950e-02 3.817e-07 2.199e-03
5.000e+00 2.197e-06 2.773e-02 3.402e-07 2.487e-03
5.027e+00 2.173e-06 2.763e-02 3.380e-07 2.503e-03
5.549e+00 1.784e-06 2.585e-02 2.999e-07 2.824e-03
6.000e+00 1.526e-06 2.451e-02 2.733e-07 3.088e-03
6.126e+00 1.463e-06 2.416e-02 2.666e-07 3.160e-03
6.762e+00 1.201e-06 2.257e-02 2.375e-07 3.507e-03
7.000e+00 1.121e-06 2.203e-02 2.281e-07 3.631e-03
7.465e+00 9.856e-07 2.106e-02 2.118e-07 3.866e-03
8.000e+00 8.582e-07 2.005e-02 1.956e-07 4.123e-03
8.241e+00 8.088e-07 1.963e-02 1.891e-07 4.236e-03
9.000e+00 6.782e-07 1.843e-02 1.712e-07 4.575e-03
9.097e+00 6.638e-07 1.829e-02 1.692e-07 4.617e-03
1.000e+01 5.493e-07 1.708e-02 1.522e-07 4.985e-03
1.004e+01 5.449e-07 1.703e-02 1.515e-07 5.001e-03
1.100e+01 4.539e-07 1.593e-02 1.369e-07 5.362e-03
1.109e+01 4.465e-07 1.583e-02 1.357e-07 5.394e-03
1.200e+01 3.814e-07 1.494e-02 1.244e-07 5.709e-03
1.224e+01 3.666e-07 1.472e-02 1.218e-07 5.788e-03
1.300e+01 3.250e-07 1.407e-02 1.140e-07 6.033e-03
1.351e+01 3.009e-07 1.367e-02 1.093e-07 6.189e-03
1.400e+01 2.802e-07 1.331e-02 1.052e-07 6.335e-03
1.491e+01 2.471e-07 1.269e-02 9.829e-08 6.592e-03
1.500e+01 2.441e-07 1.264e-02 9.766e-08 6.618e-03
1.600e+01 2.145e-07 1.204e-02 9.112e-08 6.885e-03
1.646e+01 2.027e-07 1.178e-02 8.839e-08 7.003e-03
1.800e+01 1.695e-07 1.100e-02 8.035e-08 7.374e-03
1.818e+01 1.662e-07 1.091e-02 7.951e-08 7.416e-03
2.000e+01 1.373e-07 1.014e-02 7.185e-08 7.814e-03
