# SODIUM MONOXIDE from NIST Database
5.000e-01 3.850e-04 8.420e-02 5.732e-05 0.000e+00
5.173e-01 3.598e-04 8.302e-02 5.240e-05 0.000e+00
5.710e-01 2.954e-04 7.960e-02 4.058e-05 0.000e+00
6.000e-01 2.676e-04 7.792e-02 3.575e-05 0.000e+00
6.304e-01 2.425e-04 7.625e-02 3.151e-05 0.000e+00
6.959e-01 1.991e-04 7.297e-02 2.463e-05 0.000e+00
7.682e-01 1.634e-04 6.977e-02 1.965e-05 0.000e+00
8.000e-01 1.507e-04 6.848e-02 1.807e-05 0.000e+00
8.480e-01 1.341e-04 6.665e-02 1.616e-05 0.000e+00
9.361e-01 1.101e-04 6.361e-02 1.326e-05 0.000e+00
1.000e+00 9.648e-05 6.159e-02 1.123e-05 0.000e+00
1.022e+00 9.237e-05 6.093e-02 1.055e-05 0.000e+00
1.033e+00 9.042e-05 6.061e-02 1.024e-05 4.763e-09
1.141e+00 7.413e-05 5.768e-02 8.291e-06 4.494e-06
1.250e+00 6.178e-05 5.507e-02 7.154e-06 2.419e-05
1.259e+00 6.090e-05 5.487e-02 7.070e-06 2.661e-05
1.390e+00 4.996e-05 5.212e-02 5.947e-06 7.510e-05
1.500e+00 4.291e-05 5.006e-02 5.186e-06 1.331e-04
1.535e+00 4.098e-05 4.945e-02 4.981e-06 1.544e-04
1.694e+00 3.366e-05 4.689e-02 4.221e-06 2.659e-04
1.870e+00 2.763e-05 4.439e-02 3.607e-06 4.111e-04
2.000e+00 2.414e-05 4.272e-02 3.249e-06 5.286e-04
2.044e+00 2.311e-05 4.219e-02 3.142e-06 5.698e-04
2.065e+00 2.264e-05 4.194e-02 3.093e-06 5.896e-04
2.279e+00 1.857e-05 3.960e-02 2.666e-06 7.970e-04
2.516e+00 1.524e-05 3.737e-02 2.308e-06 1.033e-03
2.778e+00 1.251e-05 3.523e-02 2.007e-06 1.296e-03
3.000e+00 1.073e-05 3.362e-02 1.805e-06 1.520e-03
3.066e+00 1.027e-05 3.318e-02 1.752e-06 1.586e-03
3.385e+00 8.428e-06 3.119e-02 1.534e-06 1.902e-03
3.737e+00 6.914e-06 2.929e-02 1.347e-06 2.243e-03
4.000e+00 6.035e-06 2.804e-02 1.234e-06 2.491e-03
4.125e+00 5.675e-06 2.748e-02 1.187e-06 2.606e-03
4.554e+00 4.656e-06 2.576e-02 1.048e-06 2.990e-03
5.000e+00 3.863e-06 2.422e-02 9.340e-07 3.372e-03
5.027e+00 3.822e-06 2.413e-02 9.278e-07 3.394e-03
5.549e+00 3.137e-06 2.257e-02 8.230e-07 3.819e-03
6.000e+00 2.683e-06 2.140e-02 7.496e-07 4.168e-03
6.126e+00 2.574e-06 2.110e-02 7.314e-07 4.262e-03
6.762e+00 2.112e-06 1.971e-02 6.511e-07 4.720e-03
7.000e+00 1.971e-06 1.924e-02 6.254e-07 4.883e-03
7.465e+00 1.733e-06 1.839e-02 5.805e-07 5.194e-03
8.000e+00 1.509e-06 1.751e-02 5.362e-07 5.533e-03
8.241e+00 1.422e-06 1.714e-02 5.184e-07 5.680e-03
9.000e+00 1.192e-06 1.609e-02 4.691e-07 6.122e-03
9.097e+00 1.167e-06 1.597e-02 4.635e-07 6.177e-03
1.000e+01 9.657e-07 1.491e-02 4.167e-07 6.662e-03
1.004e+01 9.580e-07 1.487e-02 4.149e-07 6.682e-03
1.100e+01 7.981e-07 1.391e-02 3.750e-07 7.152e-03
1.109e+01 7.852e-07 1.383e-02 3.716e-07 7.195e-03
1.200e+01 6.705e-07 1.304e-02 3.406e-07 7.604e-03
1.224e+01 6.445e-07 1.285e-02 3.333e-07 7.708e-03
1.300e+01 5.714e-07 1.229e-02 3.122e-07 8.024e-03
1.351e+01 5.291e-07 1.194e-02 2.993e-07 8.227e-03
1.400e+01 4.927e-07 1.162e-02 2.879e-07 8.416e-03
1.491e+01 4.343e-07 1.109e-02 2.690e-07 8.751e-03
1.500e+01 4.291e-07 1.104e-02 2.672e-07 8.783e-03
1.600e+01 3.772e-07 1.051e-02 2.494e-07 9.127e-03
1.646e+01 3.564e-07 1.029e-02 2.419e-07 9.279e-03
1.800e+01 2.980e-07 9.606e-03 2.197e-07 9.761e-03
1.818e+01 2.921e-07 9.533e-03 2.174e-07 9.814e-03
2.000e+01 2.414e-07 8.858e-03 1.965e-07 1.033e-02
