# RUBBER, NEOPRENE from NIST Database
4.686e-01 5.000e-04 9.283e-02 1.818e-04 0.000e+00
5.000e-01 4.396e-04 9.039e-02 1.529e-04 0.000e+00
5.173e-01 4.108e-04 8.911e-02 1.399e-04 0.000e+00
5.710e-01 3.375e-04 8.545e-02 1.086e-04 0.000e+00
6.000e-01 3.058e-04 8.364e-02 9.577e-05 0.000e+00
6.304e-01 2.771e-04 8.186e-02 8.457e-05 0.000e+00
6.959e-01 2.276e-04 7.834e-02 6.635e-05 0.000e+00
7.682e-01 1.869e-04 7.490e-02 5.289e-05 0.000e+00
8.000e-01 1.723e-04 7.350e-02 4.853e-05 0.000e+00
8.480e-01 1.534e-04 7.152e-02 4.317e-05 0.000e+00
9.361e-01 1.259e-04 6.823e-02 3.529e-05 0.000e+00
1.000e+00 1.104e-04 6.611e-02 3.018e-05 0.000e+00
1.022e+00 1.057e-04 6.542e-02 2.852e-05 0.000e+00
1.033e+00 1.034e-04 6.508e-02 2.777e-05 5.056e-09
1.141e+00 8.480e-05 6.195e-02 2.259e-05 4.707e-06
1.250e+00 7.068e-05 5.912e-02 1.932e-05 2.506e-05
1.259e+00 6.968e-05 5.890e-02 1.909e-05 2.754e-05
1.390e+00 5.717e-05 5.596e-02 1.601e-05 7.702e-05
1.500e+00 4.910e-05 5.375e-02 1.397e-05 1.358e-04
1.535e+00 4.689e-05 5.309e-02 1.342e-05 1.574e-04
1.694e+00 3.850e-05 5.031e-02 1.135e-05 2.698e-04
1.870e+00 3.160e-05 4.762e-02 9.668e-06 4.161e-04
2.000e+00 2.762e-05 4.586e-02 8.690e-06 5.344e-04
2.044e+00 2.645e-05 4.530e-02 8.397e-06 5.760e-04
2.065e+00 2.591e-05 4.504e-02 8.264e-06 5.959e-04
2.279e+00 2.127e-05 4.256e-02 7.105e-06 8.045e-04
2.516e+00 1.745e-05 4.015e-02 6.136e-06 1.041e-03
2.778e+00 1.432e-05 3.782e-02 5.323e-06 1.306e-03
3.000e+00 1.228e-05 3.608e-02 4.779e-06 1.530e-03
3.066e+00 1.176e-05 3.560e-02 4.637e-06 1.596e-03
3.385e+00 9.645e-06 3.347e-02 4.050e-06 1.912e-03
3.737e+00 7.915e-06 3.144e-02 3.549e-06 2.255e-03
4.000e+00 6.908e-06 3.010e-02 3.246e-06 2.503e-03
4.125e+00 6.496e-06 2.950e-02 3.120e-06 2.617e-03
4.554e+00 5.330e-06 2.766e-02 2.749e-06 3.002e-03
5.000e+00 4.422e-06 2.599e-02 2.445e-06 3.385e-03
5.027e+00 4.374e-06 2.590e-02 2.429e-06 3.407e-03
5.549e+00 3.590e-06 2.423e-02 2.150e-06 3.833e-03
6.000e+00 3.071e-06 2.297e-02 1.956e-06 4.183e-03
6.126e+00 2.946e-06 2.265e-02 1.907e-06 4.278e-03
6.762e+00 2.418e-06 2.115e-02 1.696e-06 4.737e-03
7.000e+00 2.256e-06 2.065e-02 1.628e-06 4.901e-03
7.465e+00 1.984e-06 1.974e-02 1.510e-06 5.211e-03
8.000e+00 1.727e-06 1.879e-02 1.393e-06 5.551e-03
8.241e+00 1.628e-06 1.840e-02 1.346e-06 5.699e-03
9.000e+00 1.365e-06 1.728e-02 1.216e-06 6.143e-03
9.097e+00 1.336e-06 1.714e-02 1.202e-06 6.198e-03
1.000e+01 1.105e-06 1.600e-02 1.080e-06 6.683e-03
1.004e+01 1.096e-06 1.596e-02 1.075e-06 6.704e-03
1.100e+01 9.135e-07 1.493e-02 9.702e-07 7.175e-03
1.109e+01 8.987e-07 1.484e-02 9.613e-07 7.217e-03
1.200e+01 7.677e-07 1.400e-02 8.802e-07 7.628e-03
1.224e+01 7.379e-07 1.380e-02 8.612e-07 7.732e-03
1.300e+01 6.541e-07 1.319e-02 8.062e-07 8.049e-03
1.351e+01 6.057e-07 1.282e-02 7.730e-07 8.253e-03
1.400e+01 5.640e-07 1.248e-02 7.434e-07 8.442e-03
1.491e+01 4.973e-07 1.190e-02 6.939e-07 8.777e-03
1.500e+01 4.913e-07 1.185e-02 6.894e-07 8.808e-03
1.600e+01 4.318e-07 1.128e-02 6.427e-07 9.155e-03
1.646e+01 4.080e-07 1.104e-02 6.233e-07 9.308e-03
1.800e+01 3.412e-07 1.031e-02 5.661e-07 9.789e-03
1.818e+01 3.345e-07 1.023e-02 5.601e-07 9.843e-03
2.000e+01 2.764e-07 9.507e-03 5.058e-07 1.036e-02
