# LANTHANUM OXYBROMIDE from NIST Database
8.726e-02 1.144e-01 1.156e-01 2.070e+00 0.000e+00
9.633e-02 9.625e-02 1.146e-01 1.567e+00 0.000e+00
1.000e-01 9.013e-02 1.141e-01 1.409e+00 0.000e+00
1.063e-01 8.092e-02 1.133e-01 1.186e+00 0.000e+00
1.174e-01 6.786e-02 1.117e-01 8.941e-01 0.000e+00
1.296e-01 5.689e-02 1.099e-01 6.748e-01 0.000e+00
1.431e-01 4.761e-02 1.079e-01 5.087e-01 0.000e+00
1.500e-01 4.373e-02 1.069e-01 4.448e-01 0.000e+00
1.579e-01 3.984e-02 1.057e-01 3.842e-01 0.000e+00
1.743e-01 3.327e-02 1.033e-01 2.899e-01 0.000e+00
1.925e-01 2.772e-02 1.008e-01 2.186e-01 0.000e+00
2.000e-01 2.583e-02 9.983e-02 1.961e-01 0.000e+00
2.125e-01 2.308e-02 9.821e-02 1.652e-01 0.000e+00
2.345e-01 1.920e-02 9.550e-02 1.251e-01 0.000e+00
2.589e-01 1.594e-02 9.271e-02 9.489e-02 0.000e+00
2.858e-01 1.321e-02 8.985e-02 7.216e-02 0.000e+00
3.000e-01 1.205e-02 8.843e-02 6.316e-02 0.000e+00
3.155e-01 1.094e-02 8.695e-02 5.505e-02 0.000e+00
3.483e-01 9.054e-03 8.403e-02 4.214e-02 0.000e+00
3.845e-01 7.485e-03 8.109e-02 3.239e-02 0.000e+00
4.000e-01 6.936e-03 7.992e-02 2.920e-02 0.000e+00
4.245e-01 6.183e-03 7.815e-02 2.501e-02 0.000e+00
4.686e-01 5.106e-03 7.523e-02 1.942e-02 0.000e+00
5.000e-01 4.502e-03 7.333e-02 1.650e-02 0.000e+00
5.173e-01 4.213e-03 7.234e-02 1.516e-02 0.000e+00
5.710e-01 3.474e-03 6.947e-02 1.192e-02 0.000e+00
6.000e-01 3.153e-03 6.804e-02 1.058e-02 0.000e+00
6.304e-01 2.862e-03 6.662e-02 9.414e-03 0.000e+00
6.959e-01 2.358e-03 6.381e-02 7.488e-03 0.000e+00
7.682e-01 1.941e-03 6.106e-02 5.999e-03 0.000e+00
8.000e-01 1.792e-03 5.995e-02 5.491e-03 0.000e+00
8.480e-01 1.597e-03 5.839e-02 4.847e-03 0.000e+00
9.361e-01 1.314e-03 5.576e-02 3.939e-03 0.000e+00
1.000e+00 1.153e-03 5.401e-02 3.432e-03 0.000e+00
1.022e+00 1.105e-03 5.343e-02 3.279e-03 0.000e+00
1.033e+00 1.081e-03 5.315e-02 3.208e-03 3.912e-08
1.141e+00 8.882e-04 5.059e-02 2.631e-03 3.278e-05
1.250e+00 7.410e-04 4.833e-02 2.212e-03 1.596e-04
1.259e+00 7.305e-04 4.815e-02 2.183e-03 1.742e-04
1.390e+00 6.001e-04 4.576e-02 1.818e-03 4.481e-04
1.500e+00 5.157e-04 4.396e-02 1.583e-03 7.479e-04
1.535e+00 4.925e-04 4.342e-02 1.519e-03 8.537e-04
1.694e+00 4.047e-04 4.118e-02 1.277e-03 1.382e-03
1.870e+00 3.323e-04 3.899e-02 1.078e-03 2.033e-03
2.000e+00 2.907e-04 3.754e-02 9.632e-04 2.540e-03
2.044e+00 2.783e-04 3.708e-02 9.291e-04 2.714e-03
2.065e+00 2.727e-04 3.687e-02 9.136e-04 2.797e-03
2.279e+00 2.241e-04 3.483e-02 7.789e-04 3.650e-03
2.516e+00 1.839e-04 3.286e-02 6.666e-04 4.592e-03
2.778e+00 1.509e-04 3.097e-02 5.727e-04 5.611e-03
3.000e+00 1.294e-04 2.955e-02 5.104e-04 6.451e-03
3.066e+00 1.239e-04 2.916e-02 4.942e-04 6.696e-03
3.385e+00 1.017e-04 2.742e-02 4.277e-04 7.850e-03
3.737e+00 8.343e-05 2.576e-02 3.714e-04 9.064e-03
4.000e+00 7.283e-05 2.466e-02 3.377e-04 9.933e-03
4.125e+00 6.849e-05 2.417e-02 3.236e-04 1.034e-02
4.554e+00 5.621e-05 2.266e-02 2.828e-04 1.166e-02
5.000e+00 4.664e-05 2.130e-02 2.496e-04 1.296e-02
5.027e+00 4.614e-05 2.122e-02 2.478e-04 1.304e-02
5.549e+00 3.787e-05 1.986e-02 2.178e-04 1.445e-02
6.000e+00 3.239e-05 1.883e-02 1.969e-04 1.560e-02
6.126e+00 3.107e-05 1.856e-02 1.917e-04 1.590e-02
6.762e+00 2.550e-05 1.734e-02 1.692e-04 1.740e-02
7.000e+00 2.380e-05 1.692e-02 1.621e-04 1.794e-02
7.465e+00 2.093e-05 1.618e-02 1.496e-04 1.894e-02
8.000e+00 1.822e-05 1.540e-02 1.375e-04 2.005e-02
8.241e+00 1.717e-05 1.508e-02 1.326e-04 2.053e-02
9.000e+00 1.440e-05 1.416e-02 1.192e-04 2.197e-02
9.097e+00 1.409e-05 1.405e-02 1.177e-04 2.214e-02
1.000e+01 1.166e-05 1.312e-02 1.052e-04 2.373e-02
1.004e+01 1.157e-05 1.308e-02 1.047e-04 2.379e-02
1.100e+01 9.638e-06 1.224e-02 9.404e-05 2.534e-02
1.109e+01 9.483e-06 1.216e-02 9.315e-05 2.548e-02
1.200e+01 8.099e-06 1.147e-02 8.502e-05 2.684e-02
1.224e+01 7.784e-06 1.131e-02 8.309e-05 2.718e-02
