# SILVER CHLORIDE from NIST Database
2.589e-01 1.301e-02 9.767e-02 6.138e-02 0.000e+00
2.858e-01 1.077e-02 9.461e-02 4.646e-02 0.000e+00
3.000e-01 9.818e-03 9.310e-02 4.058e-02 0.000e+00
3.155e-01 8.912e-03 9.151e-02 3.528e-02 0.000e+00
3.483e-01 7.366e-03 8.838e-02 2.689e-02 0.000e+00
3.845e-01 6.085e-03 8.524e-02 2.058e-02 0.000e+00
4.000e-01 5.636e-03 8.400e-02 1.852e-02 0.000e+00
4.245e-01 5.022e-03 8.212e-02 1.583e-02 0.000e+00
4.686e-01 4.143e-03 7.904e-02 1.225e-02 0.000e+00
5.000e-01 3.650e-03 7.703e-02 1.038e-02 0.000e+00
5.173e-01 3.416e-03 7.598e-02 9.532e-03 0.000e+00
5.710e-01 2.815e-03 7.297e-02 7.469e-03 0.000e+00
6.000e-01 2.554e-03 7.147e-02 6.621e-03 0.000e+00
6.304e-01 2.318e-03 6.998e-02 5.878e-03 0.000e+00
6.959e-01 1.908e-03 6.703e-02 4.657e-03 0.000e+00
7.682e-01 1.570e-03 6.412e-02 3.727e-03 0.000e+00
8.000e-01 1.449e-03 6.295e-02 3.416e-03 0.000e+00
8.480e-01 1.291e-03 6.128e-02 3.025e-03 0.000e+00
9.361e-01 1.061e-03 5.849e-02 2.463e-03 0.000e+00
1.000e+00 9.313e-04 5.666e-02 2.131e-03 0.000e+00
1.022e+00 8.919e-04 5.606e-02 2.027e-03 0.000e+00
1.033e+00 8.732e-04 5.577e-02 1.979e-03 3.217e-08
1.141e+00 7.169e-04 5.310e-02 1.618e-03 2.693e-05
1.250e+00 5.980e-04 5.071e-02 1.368e-03 1.312e-04
1.259e+00 5.895e-04 5.052e-02 1.350e-03 1.433e-04
1.390e+00 4.840e-04 4.800e-02 1.126e-03 3.699e-04
1.500e+00 4.158e-04 4.612e-02 9.807e-04 6.209e-04
1.535e+00 3.971e-04 4.555e-02 9.411e-04 7.102e-04
1.694e+00 3.263e-04 4.319e-02 7.918e-04 1.163e-03
1.870e+00 2.679e-04 4.089e-02 6.692e-04 1.730e-03
2.000e+00 2.343e-04 3.938e-02 5.981e-04 2.178e-03
2.044e+00 2.243e-04 3.889e-02 5.769e-04 2.332e-03
2.065e+00 2.198e-04 3.867e-02 5.673e-04 2.406e-03
2.279e+00 1.805e-04 3.653e-02 4.838e-04 3.168e-03
2.516e+00 1.482e-04 3.447e-02 4.146e-04 4.015e-03
2.778e+00 1.216e-04 3.248e-02 3.569e-04 4.939e-03
3.000e+00 1.043e-04 3.099e-02 3.185e-04 5.703e-03
3.066e+00 9.982e-05 3.058e-02 3.085e-04 5.927e-03
3.385e+00 8.190e-05 2.876e-02 2.675e-04 6.982e-03
3.737e+00 6.721e-05 2.701e-02 2.326e-04 8.097e-03
4.000e+00 5.867e-05 2.586e-02 2.117e-04 8.897e-03
4.125e+00 5.517e-05 2.535e-02 2.029e-04 9.268e-03
4.554e+00 4.527e-05 2.376e-02 1.776e-04 1.050e-02
5.000e+00 3.756e-05 2.233e-02 1.569e-04 1.170e-02
5.027e+00 3.715e-05 2.225e-02 1.558e-04 1.177e-02
5.549e+00 3.050e-05 2.082e-02 1.371e-04 1.307e-02
6.000e+00 2.609e-05 1.974e-02 1.240e-04 1.414e-02
6.126e+00 2.502e-05 1.946e-02 1.208e-04 1.442e-02
6.762e+00 2.054e-05 1.818e-02 1.068e-04 1.581e-02
7.000e+00 1.917e-05 1.774e-02 1.023e-04 1.631e-02
7.465e+00 1.685e-05 1.696e-02 9.452e-05 1.724e-02
8.000e+00 1.467e-05 1.615e-02 8.689e-05 1.827e-02
8.241e+00 1.383e-05 1.581e-02 8.383e-05 1.872e-02
9.000e+00 1.159e-05 1.485e-02 7.544e-05 2.006e-02
9.097e+00 1.135e-05 1.473e-02 7.449e-05 2.023e-02
1.000e+01 9.393e-06 1.376e-02 6.662e-05 2.169e-02
1.004e+01 9.319e-06 1.372e-02 6.631e-05 2.175e-02
1.100e+01 7.764e-06 1.283e-02 5.962e-05 2.319e-02
1.109e+01 7.638e-06 1.275e-02 5.906e-05 2.333e-02
1.200e+01 6.523e-06 1.203e-02 5.394e-05 2.458e-02
1.224e+01 6.270e-06 1.186e-02 5.273e-05 2.490e-02
1.300e+01 5.558e-06 1.133e-02 4.923e-05 2.585e-02
1.351e+01 5.145e-06 1.101e-02 4.711e-05 2.647e-02
1.400e+01 4.791e-06 1.072e-02 4.524e-05 2.705e-02
1.491e+01 4.225e-06 1.023e-02 4.216e-05 2.804e-02
1.500e+01 4.174e-06 1.018e-02 4.188e-05 2.814e-02
1.600e+01 3.669e-06 9.698e-03 3.897e-05 2.917e-02
1.646e+01 3.467e-06 9.492e-03 3.776e-05 2.961e-02
1.800e+01 2.899e-06 8.863e-03 3.421e-05 3.104e-02
1.818e+01 2.842e-06 8.795e-03 3.384e-05 3.120e-02
2.000e+01 2.348e-06 8.171e-03 3.047e-05 3.272e-02
