# GADOLINIUM OXYSULFIDE from NIST Database
1.063e-01 1.082e-01 1.110e-01 2.013e+00 0.000e+00
1.174e-01 9.076e-02 1.096e-01 1.529e+00 0.000e+00
1.296e-01 7.614e-02 1.079e-01 1.163e+00 0.000e+00
1.431e-01 6.379e-02 1.060e-01 8.828e-01 0.000e+00
1.500e-01 5.863e-02 1.051e-01 7.745e-01 0.000e+00
1.579e-01 5.347e-02 1.039e-01 6.714e-01 0.000e+00
1.743e-01 4.475e-02 1.017e-01 5.101e-01 0.000e+00
1.925e-01 3.737e-02 9.929e-02 3.871e-01 0.000e+00
2.000e-01 3.486e-02 9.833e-02 3.482e-01 0.000e+00
2.125e-01 3.119e-02 9.677e-02 2.944e-01 0.000e+00
2.345e-01 2.601e-02 9.416e-02 2.243e-01 0.000e+00
2.589e-01 2.164e-02 9.145e-02 1.711e-01 0.000e+00
2.858e-01 1.798e-02 8.868e-02 1.308e-01 0.000e+00
3.000e-01 1.641e-02 8.730e-02 1.148e-01 0.000e+00
3.155e-01 1.492e-02 8.586e-02 1.003e-01 0.000e+00
3.483e-01 1.237e-02 8.302e-02 7.719e-02 0.000e+00
3.845e-01 1.024e-02 8.015e-02 5.963e-02 0.000e+00
4.000e-01 9.494e-03 7.901e-02 5.385e-02 0.000e+00
4.245e-01 8.469e-03 7.729e-02 4.626e-02 0.000e+00
4.686e-01 7.000e-03 7.443e-02 3.607e-02 0.000e+00
5.000e-01 6.175e-03 7.257e-02 3.072e-02 0.000e+00
5.173e-01 5.782e-03 7.159e-02 2.827e-02 0.000e+00
5.710e-01 4.775e-03 6.878e-02 2.229e-02 0.000e+00
6.000e-01 4.337e-03 6.737e-02 1.983e-02 0.000e+00
6.304e-01 3.939e-03 6.597e-02 1.767e-02 0.000e+00
6.959e-01 3.248e-03 6.321e-02 1.409e-02 0.000e+00
7.682e-01 2.676e-03 6.051e-02 1.131e-02 0.000e+00
8.000e-01 2.471e-03 5.943e-02 1.036e-02 0.000e+00
8.480e-01 2.204e-03 5.790e-02 9.139e-03 0.000e+00
9.361e-01 1.814e-03 5.531e-02 7.428e-03 0.000e+00
1.000e+00 1.593e-03 5.355e-02 6.486e-03 0.000e+00
1.022e+00 1.526e-03 5.296e-02 6.206e-03 0.000e+00
1.033e+00 1.495e-03 5.267e-02 6.074e-03 5.256e-08
1.141e+00 1.228e-03 5.013e-02 4.987e-03 4.427e-05
1.250e+00 1.025e-03 4.792e-02 4.184e-03 2.160e-04
1.259e+00 1.011e-03 4.775e-02 4.128e-03 2.358e-04
1.390e+00 8.306e-04 4.539e-02 3.433e-03 6.047e-04
1.500e+00 7.140e-04 4.361e-02 2.988e-03 1.003e-03
1.535e+00 6.821e-04 4.308e-02 2.867e-03 1.141e-03
1.694e+00 5.607e-04 4.085e-02 2.408e-03 1.820e-03
1.870e+00 4.606e-04 3.868e-02 2.030e-03 2.628e-03
2.000e+00 4.028e-04 3.724e-02 1.813e-03 3.245e-03
2.044e+00 3.857e-04 3.679e-02 1.749e-03 3.455e-03
2.065e+00 3.780e-04 3.657e-02 1.720e-03 3.556e-03
2.279e+00 3.105e-04 3.455e-02 1.464e-03 4.575e-03
2.516e+00 2.550e-04 3.260e-02 1.252e-03 5.682e-03
2.778e+00 2.093e-04 3.073e-02 1.074e-03 6.866e-03
3.000e+00 1.795e-04 2.932e-02 9.557e-04 7.833e-03
3.066e+00 1.719e-04 2.894e-02 9.251e-04 8.114e-03
3.385e+00 1.411e-04 2.721e-02 7.995e-04 9.433e-03
3.737e+00 1.158e-04 2.556e-02 6.934e-04 1.081e-02
4.000e+00 1.011e-04 2.447e-02 6.299e-04 1.179e-02
4.125e+00 9.506e-05 2.399e-02 6.034e-04 1.225e-02
4.554e+00 7.800e-05 2.249e-02 5.265e-04 1.373e-02
5.000e+00 6.472e-05 2.114e-02 4.640e-04 1.519e-02
5.027e+00 6.402e-05 2.106e-02 4.607e-04 1.527e-02
5.549e+00 5.256e-05 1.970e-02 4.041e-04 1.686e-02
6.000e+00 4.496e-05 1.868e-02 3.650e-04 1.813e-02
6.126e+00 4.313e-05 1.842e-02 3.553e-04 1.847e-02
6.762e+00 3.539e-05 1.720e-02 3.133e-04 2.014e-02
7.000e+00 3.302e-05 1.679e-02 2.999e-04 2.073e-02
7.465e+00 2.904e-05 1.605e-02 2.767e-04 2.185e-02
8.000e+00 2.529e-05 1.528e-02 2.540e-04 2.307e-02
8.241e+00 2.384e-05 1.497e-02 2.449e-04 2.360e-02
9.000e+00 1.999e-05 1.405e-02 2.200e-04 2.521e-02
9.097e+00 1.956e-05 1.394e-02 2.172e-04 2.540e-02
1.000e+01 1.619e-05 1.302e-02 1.939e-04 2.715e-02
1.004e+01 1.606e-05 1.298e-02 1.929e-04 2.724e-02
1.100e+01 1.338e-05 1.214e-02 1.732e-04 2.896e-02
1.109e+01 1.316e-05 1.207e-02 1.715e-04 2.911e-02
1.200e+01 1.124e-05 1.139e-02 1.564e-04 3.064e-02
1.224e+01 1.081e-05 1.122e-02 1.529e-04 3.101e-02
1.300e+01 9.580e-06 1.073e-02 1.426e-04 3.220e-02
1.351e+01 8.870e-06 1.042e-02 1.364e-04 3.295e-02
1.400e+01 8.260e-06 1.015e-02 1.310e-04 3.365e-02
1.491e+01 7.282e-06 9.680e-03 1.219e-04 3.490e-02
1.500e+01 7.195e-06 9.636e-03 1.211e-04 3.501e-02
1.600e+01 6.326e-06 9.175e-03 1.126e-04 3.625e-02
1.646e+01 5.978e-06 8.980e-03 1.090e-04 3.679e-02
1.800e+01 4.996e-06 8.387e-03 9.864e-05 3.852e-02
1.818e+01 4.898e-06 8.324e-03 9.755e-05 3.871e-02
2.000e+01 4.048e-06 7.735e-03 8.778e-05 4.055e-02
