# CESIUM IODIDE from NIST Database
2.589e-01 9.596e-03 1.014e-01 5.623e-02 0.000e+00
2.858e-01 7.955e-03 9.808e-02 4.273e-02 0.000e+00
3.000e-01 7.253e-03 9.646e-02 3.738e-02 0.000e+00
3.155e-01 6.588e-03 9.478e-02 3.256e-02 0.000e+00
3.483e-01 5.450e-03 9.147e-02 2.490e-02 0.000e+00
3.845e-01 4.506e-03 8.817e-02 1.912e-02 0.000e+00
4.000e-01 4.175e-03 8.686e-02 1.723e-02 0.000e+00
4.245e-01 3.721e-03 8.490e-02 1.475e-02 0.000e+00
4.686e-01 3.071e-03 8.166e-02 1.144e-02 0.000e+00
5.000e-01 2.707e-03 7.955e-02 9.713e-03 0.000e+00
5.173e-01 2.534e-03 7.845e-02 8.926e-03 0.000e+00
5.710e-01 2.089e-03 7.528e-02 7.012e-03 0.000e+00
6.000e-01 1.897e-03 7.371e-02 6.223e-03 0.000e+00
6.304e-01 1.722e-03 7.215e-02 5.531e-03 0.000e+00
6.959e-01 1.418e-03 6.909e-02 4.389e-03 0.000e+00
7.682e-01 1.167e-03 6.608e-02 3.517e-03 0.000e+00
8.000e-01 1.078e-03 6.486e-02 3.223e-03 0.000e+00
8.480e-01 9.603e-04 6.313e-02 2.854e-03 0.000e+00
9.361e-01 7.898e-04 6.025e-02 2.325e-03 0.000e+00
1.000e+00 6.933e-04 5.837e-02 2.013e-03 0.000e+00
1.022e+00 6.642e-04 5.776e-02 1.916e-03 0.000e+00
1.033e+00 6.503e-04 5.746e-02 1.871e-03 2.447e-08
1.141e+00 5.340e-04 5.470e-02 1.530e-03 2.044e-05
1.250e+00 4.454e-04 5.222e-02 1.292e-03 9.936e-05
1.259e+00 4.390e-04 5.203e-02 1.275e-03 1.085e-04
1.390e+00 3.606e-04 4.944e-02 1.063e-03 2.791e-04
1.500e+00 3.099e-04 4.749e-02 9.249e-04 4.664e-04
1.535e+00 2.960e-04 4.691e-02 8.874e-04 5.327e-04
1.694e+00 2.432e-04 4.447e-02 7.460e-04 8.655e-04
1.870e+00 1.998e-04 4.210e-02 6.300e-04 1.277e-03
2.000e+00 1.747e-04 4.054e-02 5.630e-04 1.598e-03
2.044e+00 1.673e-04 4.004e-02 5.430e-04 1.709e-03
2.065e+00 1.639e-04 3.981e-02 5.340e-04 1.762e-03
2.279e+00 1.347e-04 3.761e-02 4.552e-04 2.304e-03
2.516e+00 1.105e-04 3.548e-02 3.897e-04 2.905e-03
2.778e+00 9.068e-05 3.344e-02 3.350e-04 3.557e-03
3.000e+00 7.778e-05 3.190e-02 2.987e-04 4.096e-03
3.066e+00 7.447e-05 3.148e-02 2.892e-04 4.254e-03
3.385e+00 6.112e-05 2.960e-02 2.504e-04 4.999e-03
3.737e+00 5.016e-05 2.780e-02 2.174e-04 5.786e-03
4.000e+00 4.379e-05 2.661e-02 1.977e-04 6.351e-03
4.125e+00 4.118e-05 2.609e-02 1.895e-04 6.612e-03
4.554e+00 3.378e-05 2.446e-02 1.656e-04 7.474e-03
5.000e+00 2.802e-05 2.299e-02 1.462e-04 8.317e-03
5.027e+00 2.772e-05 2.290e-02 1.452e-04 8.366e-03
5.549e+00 2.276e-05 2.143e-02 1.276e-04 9.284e-03
6.000e+00 1.947e-05 2.032e-02 1.154e-04 1.003e-02
6.126e+00 1.867e-05 2.003e-02 1.123e-04 1.024e-02
6.762e+00 1.533e-05 1.871e-02 9.919e-05 1.122e-02
7.000e+00 1.430e-05 1.826e-02 9.500e-05 1.156e-02
7.465e+00 1.258e-05 1.746e-02 8.774e-05 1.222e-02
8.000e+00 1.095e-05 1.662e-02 8.060e-05 1.294e-02
8.241e+00 1.032e-05 1.627e-02 7.775e-05 1.326e-02
9.000e+00 8.653e-06 1.528e-02 6.991e-05 1.420e-02
9.097e+00 8.469e-06 1.516e-02 6.902e-05 1.431e-02
1.000e+01 7.009e-06 1.416e-02 6.168e-05 1.535e-02
1.004e+01 6.954e-06 1.411e-02 6.139e-05 1.539e-02
1.100e+01 5.793e-06 1.320e-02 5.517e-05 1.641e-02
1.109e+01 5.699e-06 1.312e-02 5.465e-05 1.650e-02
1.200e+01 4.868e-06 1.238e-02 4.988e-05 1.739e-02
1.224e+01 4.679e-06 1.220e-02 4.875e-05 1.761e-02
1.300e+01 4.147e-06 1.166e-02 4.550e-05 1.830e-02
1.351e+01 3.841e-06 1.133e-02 4.354e-05 1.874e-02
1.400e+01 3.577e-06 1.104e-02 4.181e-05 1.914e-02
1.491e+01 3.153e-06 1.053e-02 3.894e-05 1.986e-02
1.500e+01 3.115e-06 1.048e-02 3.868e-05 1.992e-02
1.600e+01 2.738e-06 9.977e-03 3.599e-05 2.066e-02
1.646e+01 2.587e-06 9.764e-03 3.487e-05 2.098e-02
1.800e+01 2.164e-06 9.118e-03 3.156e-05 2.198e-02
1.818e+01 2.121e-06 9.048e-03 3.121e-05 2.210e-02
2.000e+01 1.752e-06 8.408e-03 2.811e-05 2.318e-02
